experiment,update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max,model,lr,val_loss,discount
89.MiniGrid-RedBlueDoors-6x6-v0_transformer_lr0.001_ent0.0_vl1.0_disc0.95,93.5,191488.0,757.0573988952164,360.8,0.031296874396502944,0.11180072584872727,0.0,0.4524999916553497,501.0125,255.40217345282426,52.4,720.0,0.0,0.0005394782980090197,-0.0006181075179597272,0.0003344177907003076,0.05363480578299751,0.031296874396502944,0.11180072584872727,0.0,0.4524999916553497,transformer,0.001,1.0,0.95
9.MiniGrid-RedBlueDoors-6x6-v0_mamba_lr0.0001_ent0.01_vl0.5_disc0.9,93.5,191488.0,716.9836876565762,324.6,0.07189062517136334,0.1741206037940147,0.0,0.5887500047683716,350.96875,270.8078331607215,15.5,720.0,0.01,0.0017654361496511027,0.0009885337922469304,0.0003891452711485313,0.00895526275322769,0.07189062517136334,0.1741206037940147,0.0,0.5887500047683716,mamba,0.0001,0.5,0.9
90.MiniGrid-RedBlueDoors-6x6-v0_transformer_lr0.001_ent0.0_vl1.0_disc0.9,93.5,191488.0,711.265415040866,379.0,0.03717187438160178,0.13506669382660105,0.0,0.5434999912977219,489.4,286.1207496879912,18.0,720.0,0.0,6.332217816976574e-05,-0.0010243213508146806,0.00016649406693182645,0.04119715241279261,0.03717187438160178,0.13506669382660105,0.0,0.5434999912977219,transformer,0.001,1.0,0.9
91.MiniGrid-RedBlueDoors-6x6-v0_transformer_lr0.001_ent0.01_vl0.5_disc0.99,93.5,191488.0,740.1639451340759,364.3,0.12933593732304866,0.21308209104645517,0.0,0.6510000050067901,292.41875,241.81241258617325,12.8,713.3,0.01,0.036273697010619756,-0.0006246074253795199,0.002115745504460133,0.05548405922428321,0.12933593732304866,0.21308209104645517,0.0,0.6510000050067901,transformer,0.001,0.5,0.99
92.MiniGrid-RedBlueDoors-6x6-v0_transformer_lr0.001_ent0.01_vl0.5_disc0.95,93.5,191488.0,762.8607065895072,347.1,0.10680468846112486,0.21712565564656092,0.0,0.6388750076293945,334.48125,240.01745667884833,24.2,720.0,0.01,0.0073583688467124,0.0002365983815707214,0.0010462705097637318,0.05286252783779353,0.10680468846112486,0.21712565564656092,0.0,0.6388750076293945,transformer,0.001,0.5,0.95
93.MiniGrid-RedBlueDoors-6x6-v0_transformer_lr0.001_ent0.01_vl0.5_disc0.9,93.5,191488.0,728.9390187825586,335.9,0.08138281228020781,0.18111568670321443,0.0,0.5896249949932099,325.7625,263.80124527830736,10.8,720.0,0.01,0.0049385531383449605,0.00363175108586797,0.0005118283088556225,0.03445502672394766,0.08138281228020781,0.18111568670321443,0.0,0.5896249949932099,transformer,0.001,0.5,0.9
94.MiniGrid-RedBlueDoors-6x6-v0_transformer_lr0.001_ent0.01_vl1.0_disc0.99,93.5,191488.0,761.6287294319462,353.3,0.07924218829721208,0.16682903156515927,0.0,0.5645000070333481,400.96875,250.17591138571547,23.2,720.0,0.01,0.02852114957722729,0.0014710142553667298,0.0009457896195271612,0.09006711449699022,0.07924218829721208,0.16682903156515927,0.0,0.5645000070333481,transformer,0.001,1.0,0.99
95.MiniGrid-RedBlueDoors-6x6-v0_transformer_lr0.001_ent0.01_vl1.0_disc0.95,93.5,191488.0,785.9265563538092,337.4,0.08259604804984783,0.18636564928234545,0.0,0.6344999969005585,173.77474845201237,165.52261887113985,13.2,599.7,0.01,0.013038001613403991,0.00222266851628775,0.0016739044357919034,0.11144791259149614,0.08259604804984783,0.18636564928234545,0.0,0.6344999969005585,transformer,0.001,1.0,0.95
96.MiniGrid-RedBlueDoors-6x6-v0_transformer_lr0.001_ent0.01_vl1.0_disc0.9,93.5,191488.0,749.145809017805,341.0,0.0424296878278255,0.09722063713631258,0.0,0.33350000232458116,289.05625,245.49248757889708,14.1,720.0,0.01,0.002001481860418112,0.0011070105043340136,0.0002170885118215476,0.02212169436899091,0.0424296878278255,0.09722063713631258,0.0,0.33350000232458116,transformer,0.001,1.0,0.9
97.MiniGrid-RedBlueDoors-6x6-v0_transformer_lr0.01_ent0.0_vl0.5_disc0.99,93.5,191488.0,692.8934713549082,404.9,0.0,0.0,0.0,0.0,716.5875,13.21655566893281,665.4,720.0,0.0,-0.045719369110156546,-0.007968279116266791,0.002973426671122598,0.17230306051693622,0.0,0.0,0.0,0.0,transformer,0.01,0.5,0.99
98.MiniGrid-RedBlueDoors-6x6-v0_transformer_lr0.01_ent0.0_vl0.5_disc0.95,93.5,191488.0,714.6363571528881,387.6,0.05860937517136332,0.17394816728532292,0.0,0.6207499951124191,442.075,299.7381637617102,16.0,720.0,0.0,-0.004499108787786091,-0.00657655721661282,0.0006281915918150356,0.05448535608144293,0.05860937517136332,0.17394816728532292,0.0,0.6207499951124191,transformer,0.01,0.5,0.95
99.MiniGrid-RedBlueDoors-6x6-v0_transformer_lr0.01_ent0.0_vl0.5_disc0.9,93.5,191488.0,689.8261293855869,374.5,0.00766406264156101,0.02968278697505628,0.0,0.1226250022649765,443.63125,314.0035265309752,4.3,720.0,0.0,-0.0014557306419916785,-0.0017705535002931754,0.000554865924161218,0.04263006596248986,0.00766406264156101,0.02968278697505628,0.0,0.1226250022649765,transformer,0.01,0.5,0.9
